,区/县,区域,小区,总价,单价,房屋户型,楼层,总面积,户型结构,套内面积,建筑类型,朝向,建筑结构,装修情况,梯户比例,供暖方式,配备电梯,产权年限,s,交易权属,u,形式,是否满五,产权形式,是否有房本,小区均价,小区建成,style,总栋数,总楼层
10,房山,长阳,加州水郡四期,259.0,29239.1,2室1厅1卫,中楼层,88.58,平层,74.78㎡,塔楼,西,钢混结构,精装,10列无数据,11列无数据,12列无数据,70年,43607,商品房,41648,普通住宅,满五年,非共有,已上传房本照片,31658,2010,塔楼/板楼/塔板结合,42,14
11,大兴,旧宫,美利新世界,559.0,43046.4,3室1厅2卫,中楼层,129.86,平层,115.14㎡,板楼,南北,钢混结构,简装,10列无数据,11列无数据,70年,13列无数据,43740,商品房,39237,普通住宅,满五年,非共有,已上传房本照片,41149,2004,板楼,30,6
12,东城,崇文门,新怡家园,1750.0,145337.0,3室1厅2卫,中楼层,120.41,平层,10341㎡,板楼,东南北,钢混结构,精装,10列无数据,11列无数据,12列无数据,70年,43803,商品房,40255,普通住宅,满五年,非共有,已上传房本照片,121193,2004,板楼,8,15
13,大兴,枣园,滨河东里,210.0,33876.4,2室1厅1卫,中楼层,61.99,平层,无信息,板楼,南北,混合结构,简装,10列无数据,70年,12列无数据,13列无数据,43731,商品房,41703,普通住宅,满五年,非共有,已上传房本照片,38209,1984,板楼,28,6
14,海淀,定慧寺,恩济里小区,695.0,100725.0,3室1厅1卫,低楼层,69,平层,无信息,板楼,南北,混合结构,简装,10列无数据,70年,12列无数据,13列无数据,43538,央产房,42986,普通住宅,满两年,共有,已上传房本照片,85161,1989,板楼/塔板结合,23,6
15,丰台,刘家窑,石榴园北里小区,324.0,55375.1,2室1厅1卫,中楼层,58.51,平层,无信息,板楼,北南,混合结构,精装,10列无数据,70年,12列无数据,13列无数据,43801,已购公房,40365,普通住宅,满五年,非共有,已上传房本照片,50403,1990,塔楼/板楼/塔板结合/平房,35,6
16,通州,梨园,新通国际花园,315.0,44353.7,2室1厅1卫,中楼层,71.02,平层,56.03㎡,板塔结合,西南北,钢混结构,简装,10列无数据,11列无数据,12列无数据,70年,43721,商品房,41198,普通住宅,满五年,非共有,已上传房本照片,47657,2009,板楼/塔板结合,16,28
17,朝阳,朝阳公园,亮马桥9号院,430.0,62609.2,3室1厅1卫,低楼层,68.68,平层,无信息,板楼,南北,混合结构,简装,10列无数据,70年,12列无数据,13列无数据,43811,商品房,40771,普通住宅,满五年,非共有,已上传房本照片,59751,1985,板楼,6,6
18,朝阳,首都机场,南平里,193.0,32773.0,2室1厅1卫,高楼层,58.89,平层,40.05㎡,板楼,东南西,砖混结构,简装,10列无数据,11列无数据,70年,13列无数据,43526,商品房,42795,普通住宅,满两年,非共有,已上传房本照片,37444,1980,板楼,58,6
19,门头沟,门头沟其它,东方小区,133.0,18261.7,3室1厅1卫,中楼层,72.83,平层,62.48㎡,板楼,南北,混合结构,精装,10列无数据,11列无数据,70年,13列无数据,43409,商品房,41611,普通住宅,满五年,非共有,已上传房本照片,19698,1986,板楼,8,4
20,昌平,西关环岛,西环里,210.0,35485.0,2室1厅1卫,中楼层,59.18,平层,无信息,板楼,南北,混合结构,精装,10列无数据,70年,12列无数据,13列无数据,43786,商品房,41718,普通住宅,满五年,非共有,已上传房本照片,35805,1979,板楼,54,6
21,朝阳,十里堡,十里堡北里,316.0,57360.7,2室1厅1卫,低楼层,55.09,平层,无信息,板楼,南北,混合结构,简装,10列无数据,70年,12列无数据,13列无数据,43663,已购公房,37273,普通住宅,满五年,非共有,已上传房本照片,56893,1980,塔楼/板楼/塔板结合,29,6
22,海淀,海淀北部新区,三嘉信苑,270.0,41602.5,2室1厅1卫,中楼层,64.9,平层,53.63㎡,板楼,南,钢混结构,精装,10列无数据,11列无数据,12列无数据,70年,43797,商品房,43236,普通住宅,暂无数据,非共有,已上传房本照片,43630,2011,板楼/塔板结合,14,10
23,丰台,科技园区,益辰欣园,485.0,48980.0,2室1厅1卫,低楼层,99.02,平层,86.49㎡,板塔结合,东西,钢混结构,精装,10列无数据,11列无数据,12列无数据,70年,43720,商品房,40050,普通住宅,满五年,非共有,已上传房本照片,48268,2000,板楼/塔板结合,9,11
24,昌平,回龙观,风雅园三区,388.0,38396.8,2室1厅1卫,低楼层,101.05,平层,无信息,板楼,东南北,混合结构,简装,10列无数据,70年,12列无数据,13列无数据,43709,商品房,43230,普通住宅,暂无数据,非共有,已上传房本照片,41824,2000,板楼,14,6
25,朝阳,豆各庄,富力又一城A区,415.0,47385.2,2室2厅1卫,低楼层,87.58,平层,72.14㎡,塔楼,东北,钢混结构,精装,10列无数据,11列无数据,12列无数据,70年,43543,商品房,41453,普通住宅,满五年,共有,已上传房本照片,49399,2004,塔楼/板楼/塔板结合/平房,15,21
26,大兴,大兴其它,天堂河,226.0,29045.1,2室1厅1卫,低楼层,77.81,平层,无信息,板楼,南北,混合结构,精装,10列无数据,70年,12列无数据,13列无数据,43759,二类经济适用房,38798,普通住宅,满五年,非共有,已上传房本照片,31675,1980,板楼,42,6
27,昌平,天通苑,天通西苑三区,335.0,32804.5,2室1厅1卫,低楼层,102.12,平层,86.48㎡,板楼,西东,混合结构,简装,10列无数据,11列无数据,12列无数据,70年,43757,商品房,42401,普通住宅,满两年,共有,已上传房本照片,32448,2000,塔楼/板楼,35,13
28,昌平,西关环岛,郝庄家园,193.0,29551.4,1室1厅1卫,高楼层,65.31,平层,无信息,板楼,南北,混合结构,精装,10列无数据,70年,12列无数据,13列无数据,43816,商品房,42643,普通住宅,满两年,非共有,已上传房本照片,27666,1996,板楼,11,6
29,丰台,花乡,天伦锦城,258.0,42385.4,1室1厅1卫,低楼层,60.87,平层,51.14㎡,板楼,西,钢混结构,简装,10列无数据,11列无数据,12列无数据,70年,43609,商品房,40708,普通住宅,满五年,非共有,已上传房本照片,43813,2003,塔楼/板楼,17,13
30,昌平,南口,南辛路7号院,172.0,25428.7,2室1厅1卫,低楼层,67.64,平层,无信息,板楼,南北,混合结构,精装,10列无数据,70年,12列无数据,13列无数据,43635,商品房,41781,普通住宅,满五年,共有,已上传房本照片,26274,1980,板楼,4,6
31,房山,长阳,碧桂园小区C区,245.0,26475.0,2室1厅1卫,低楼层,92.54,平层,76.96㎡,板塔结合,东北南,钢混结构,简装,10列无数据,11列无数据,12列无数据,70年,43721,商品房,40843,普通住宅,满五年,共有,已上传房本照片,29253,2006,板楼/塔板结合,14,16
32,大兴,瀛海,兴海园,286.0,36498.2,2室1厅1卫,中楼层,78.36,平层,无信息,板楼,南北,混合结构,精装,10列无数据,70年,12列无数据,13列无数据,43800,商品房,41709,普通住宅,满五年,非共有,已上传房本照片,34733,1995,板楼/塔板结合,19,6
33,亦庄开发区,马驹桥,新海南里,220.0,32948.9,1室1厅1卫,高楼层,66.77,平层,57.85㎡,板楼,南北,混合结构,精装,10列无数据,11列无数据,70年,13列无数据,43691,商品房,40728,普通住宅,满五年,非共有,已上传房本照片,33071,2003,板楼,20,6
34,丰台,七里庄,泥洼路5号院,378.0,54015.4,2室1厅1卫,高楼层,69.98,平层,无信息,板楼,东西,混合结构,精装,10列无数据,70年,12列无数据,13列无数据,43548,已购公房,39892,普通住宅,满五年,非共有,已上传房本照片,58153,1990,板楼,8,6
35,朝阳,甘露园,甘露园南里,299.0,52126.9,2室1厅1卫,中楼层,57.36,平层,无信息,板楼,南北,混合结构,简装,10列无数据,70年,12列无数据,13列无数据,43584,已购公房,39450,普通住宅,满五年,非共有,已上传房本照片,53225,1990,塔楼/板楼/塔板结合,40,6
36,大兴,瀛海,德茂小区,288.0,34828.9,3室1厅1卫,低楼层,82.69,平层,无信息,板楼,南西北,混合结构,简装,10列无数据,70年,12列无数据,13列无数据,43745,已购公房,38946,普通住宅,满五年,非共有,已上传房本照片,37268,1985,塔楼/板楼,30,6
37,石景山,鲁谷,远洋山水,420.0,60085.8,2室1厅1卫,中楼层,69.9,平层,52.24㎡,板塔结合,西,钢混结构,精装,10列无数据,11列无数据,12列无数据,70年,43725,商品房,40063,普通住宅,满五年,共有,已上传房本照片,64993,2003,塔楼/板楼/塔板结合,31,25
38,朝阳,甘露园,甘露园南里,225.0,53469.6,1室1厅1卫,中楼层,42.08,平层,无信息,板楼,东西,混合结构,简装,10列无数据,70年,12列无数据,13列无数据,43561,商品房,43136,普通住宅,满两年,非共有,已上传房本照片,53225,1990,塔楼/板楼/塔板结合,40,6
39,朝阳,朝阳其它,绿丰家园,229.0,39306.6,1室1厅1卫,高楼层,58.26,平层,51.86㎡,板楼,南北,混合结构,简装,10列无数据,11列无数据,70年,13列无数据,43782,商品房,43091,普通住宅,满两年,非共有,已上传房本照片,36876,2004,板楼,35,6
40,东城,广渠门,北京上舍,585.0,71673.6,2室1厅1卫,低楼层,81.62,平层,62.86㎡,塔楼,南,钢混结构,精装,10列无数据,11列无数据,12列无数据,70年,43749,商品房,40361,普通住宅,满五年,非共有,已上传房本照片,90458,2008,塔楼/板楼,5,15
41,大兴,枣园,滨河西里,249.0,36569.2,2室1厅1卫,高楼层,68.09,平层,无信息,板楼,南北,混合结构,简装,10列无数据,70年,12列无数据,13列无数据,43822,商品房,40945,普通住宅,满五年,共有,已上传房本照片,38046,1989,塔楼/板楼,51,6
42,海淀,西三旗,富力桃园C区,518.0,57844.8,2室2厅1卫,低楼层,89.55,平层,72.52㎡,板塔结合,南北,钢混结构,精装,10列无数据,11列无数据,12列无数据,70年,43817,商品房,40494,普通住宅,满五年,非共有,已上传房本照片,60870,2008,板楼/塔板结合,12,18
43,朝阳,甘露园,康家园,355.0,54115.9,2室1厅1卫,中楼层,65.6,平层,无信息,板楼,南北,混合结构,简装,10列无数据,70年,12列无数据,13列无数据,43537,已购公房,37914,普通住宅,满五年,非共有,已上传房本照片,53397,1991,塔楼/板楼,19,6
44,丰台,丰台其它,张郭庄小区,199.0,32410.4,2室1厅1卫,高楼层,61.4,平层,㎡,板楼,南北,混合结构,简装,10列无数据,70年,12列无数据,13列无数据,43120,央产房,37974,普通住宅,满五年,非共有,已上传房本照片,36892,1978,板楼,37,6
45,石景山,八角,八角南里,205.0,38818.4,2室1厅1卫,低楼层,52.81,平层,无信息,板楼,南北,混合结构,其他,10列无数据,70年,12列无数据,13列无数据,43560,已购公房,43580,普通住宅,暂无数据,非共有,已上传房本照片,48509,1985,塔楼/板楼,26,7
46,西城,月坛,万明园,415.0,70698.5,2室1厅1卫,地下室,58.7,平层,44.04㎡,板楼,东西,混合结构,简装,10列无数据,11列无数据,70年,13列无数据,43683,已购公房,43661,普通住宅,暂无数据,非共有,已上传房本照片,110112,1990,塔楼/板楼/塔板结合,12,6
47,朝阳,垡头,金蝉北里21号院,304.0,46935.3,2室1厅1卫,中楼层,64.77,平层,40.22㎡,板楼,南,砖混结构,简装,10列无数据,11列无数据,70年,13列无数据,43730,已购公房,39472,普通住宅,满五年,非共有,已上传房本照片,44813,1992,板楼,7,6
48,朝阳,北苑,北苑家园望春园,635.0,42709.2,3室1厅1卫,高楼层,148.68,平层,116.97㎡,塔楼,西南北,钢混结构,精装,10列无数据,11列无数据,12列无数据,70年,43496,商品房,43329,普通住宅,暂无数据,非共有,已上传房本照片,54571,2006,塔楼/板楼/塔板结合/平房,18,25
49,丰台,和义,久敬佳园一区,325.0,41930.1,2室1厅1卫,高楼层,77.51,平层,69.18㎡,板楼,南北,钢混结构,精装,10列无数据,11列无数据,70年,13列无数据,43587,商品房,42499,普通住宅,满两年,非共有,已上传房本照片,46083,2007,板楼,9,6
50,顺义,马坡,龙湖大名居,220.0,24934.8,2室1厅1卫,低楼层,88.23,平层,76.94㎡,板塔结合,东南北,钢混结构,简装,10列无数据,11列无数据,12列无数据,未知,43624,商品房,41778,普通住宅,满五年,非共有,已上传房本照片,29539,2011,板楼/塔板结合,13,8
51,丰台,看丹桥,新华街六里,285.0,45023.7,2室1厅1卫,高楼层,63.3,平层,无信息,板楼,南,混合结构,简装,10列无数据,70年,12列无数据,13列无数据,43792,商品房,41689,普通住宅,满五年,非共有,已上传房本照片,50049,1994,板楼,7,6
52,西城,菜户营,考拉社区,760.0,81510.1,2室2厅1卫,高楼层,93.24,平层,72.97㎡,板塔结合,东南北,钢混结构,简装,10列无数据,11列无数据,12列无数据,70年,43547,商品房,40513,普通住宅,满五年,非共有,已上传房本照片,84762,2005,塔楼/板楼/塔板结合,3,21
53,丰台,刘家窑,贾家花园小区,232.0,56723.7,1室1厅1卫,中楼层,40.9,平层,无信息,板楼,南,混合结构,精装,10列无数据,70年,12列无数据,13列无数据,43545,商品房,40646,普通住宅,满五年,非共有,已上传房本照片,49356,1980,塔楼/板楼,6,6
54,通州,北关,西潞苑小区,295.0,34302.3,3室2厅1卫,高楼层,86,平层,无信息,板楼,南北,混合结构,简装,10列无数据,70年,12列无数据,13列无数据,43672,商品房,39295,普通住宅,满五年,非共有,已上传房本照片,38947,1995,板楼/塔板结合,63,6
55,丰台,青塔,青塔秀园,298.0,50577.1,2室1厅1卫,高楼层,58.92,平层,无信息,板楼,南北,混合结构,精装,10列无数据,70年,12列无数据,13列无数据,43669,已购公房,40704,普通住宅,满五年,非共有,已上传房本照片,48276,1992,塔楼/板楼,21,6
56,丰台,刘家窑,宋家庄家园,210.0,40848.1,1室1厅1卫,低楼层,51.41,平层,43.13㎡,塔楼,西,钢混结构,简装,10列无数据,11列无数据,12列无数据,70年,43381,一类经济适用房,40526,普通住宅,满五年,非共有,已上传房本照片,49323,2010,塔楼,13,29
57,朝阳,国展,左家庄北里,379.0,60543.1,2室1厅1卫,高楼层,62.6,平层,62.6㎡,板楼,南北,砖混结构,精装,10列无数据,11列无数据,70年,13列无数据,43800,商品房,40899,普通住宅,满五年,非共有,已上传房本照片,66866,1979,塔楼/板楼/塔板结合,32,6
58,朝阳,垡头,金蝉北里,305.0,41695.1,2室1厅1卫,高楼层,73.15,平层,51.88㎡,板楼,西南,钢混结构,简装,10列无数据,11列无数据,70年,13列无数据,43641,已购公房,41249,普通住宅,满五年,非共有,已上传房本照片,46435,1985,塔楼/板楼,18,7
59,房山,长阳,天资璟庭,560.0,29610.8,4室2厅2卫,高楼层,189.12,平层,152.31㎡,板楼,南北,钢混结构,精装,10列无数据,11列无数据,12列无数据,70年,43317,商品房,42718,普通住宅,满两年,非共有,已上传房本照片,32325,2013,塔楼/板楼,12,11
60,大兴,黄村中,三合南里,269.0,33620.8,2室1厅1卫,高楼层,80.01,平层,无信息,板楼,南北,混合结构,简装,10列无数据,70年,12列无数据,13列无数据,43742,商品房,41922,普通住宅,满五年,共有,已上传房本照片,37924,1994,板楼,29,6
61,朝阳,潘家园,弘善家园,369.0,49397.6,2室1厅1卫,中楼层,74.7,平层,64.32㎡,塔楼,东南,钢混结构,精装,10列无数据,11列无数据,12列无数据,70年,43713,二类经济适用房,41757,普通住宅,满五年,非共有,已上传房本照片,50507,2009,塔楼/塔板结合,55,28
62,昌平,东关,宁馨苑,260.0,39543.7,2室1厅1卫,中楼层,65.75,平层,无信息,板楼,南北,混合结构,精装,10列无数据,70年,12列无数据,13列无数据,43758,商品房,42528,普通住宅,满两年,非共有,已上传房本照片,33727,2001,板楼,29,7
63,房山,韩村河,大自然新城雅苑,120.0,17569.5,1室1厅1卫,高楼层,68.3,平层,59.84㎡,板楼,南北,混合结构,精装,10列无数据,11列无数据,70年,13列无数据,43631,商品房,41928,普通住宅,满五年,非共有,已上传房本照片,16688,2003,板楼,32,6
64,朝阳,潘家园,松榆西里,320.0,63441.7,2室1厅1卫,高楼层,50.44,平层,无信息,板楼,南北,混合结构,简装,10列无数据,70年,12列无数据,13列无数据,43574,已购公房,42641,普通住宅,满两年,非共有,已上传房本照片,58380,1985,塔楼/板楼,60,6
65,通州,梨园,云景西里南区,293.0,36966.9,2室1厅1卫,高楼层,79.26,平层,无信息,板楼,北南,混合结构,精装,10列无数据,70年,12列无数据,13列无数据,43720,商品房,40180,普通住宅,满五年,非共有,已上传房本照片,39988,1993,板楼,41,6
66,丰台,草桥,草桥欣园四区,480.0,62039.6,2室1厅1卫,中楼层,77.37,平层,60.91㎡,板楼,南北,钢混结构,精装,10列无数据,11列无数据,12列无数据,70年,43508,商品房,42741,普通住宅,满两年,非共有,已上传房本照片,59343,2003,板楼/塔板结合,6,18
67,丰台,马家堡,嘉园二里,217.0,39490.4,2室1厅1卫,地下室,54.95,平层,无信息,板楼,东西,混合结构,精装,10列无数据,70年,12列无数据,13列无数据,43539,商品房,43199,普通住宅,暂无数据,非共有,已上传房本照片,52762,1996,塔楼/板楼,37,6
68,昌平,霍营,华龙苑南里,310.0,41762.1,2室1厅1卫,中楼层,74.23,平层,无信息,板楼,东北,混合结构,简装,10列无数据,70年,12列无数据,13列无数据,43654,商品房,43622,普通住宅,暂无数据,非共有,已上传房本照片,47557,1994,板楼,30,6
69,海淀,五棵松,复兴路79号院,360.0,65934.1,2室1厅1卫,高楼层,54.6,平层,无信息,板楼,南北,混合结构,精装,10列无数据,70年,12列无数据,13列无数据,43574,商品房,42528,普通住宅,满两年,共有,已上传房本照片,72503,1983,塔楼/板楼,19,6
70,大兴,枣园,中建国际港,436.0,48471.4,2室2厅1卫,高楼层,89.95,平层,66.86㎡,板楼,南北,钢混结构,精装,10列无数据,11列无数据,12列无数据,70年,43849,商品房,42074,普通住宅,满五年,非共有,已上传房本照片,49250,2013,板楼,10,34
71,房山,窦店,沁园春景,177.8,15058.9,3室2厅2卫,高楼层,118.07,平层,无信息,板楼,南北,混合结构,毛坯,10列无数据,70年,12列无数据,13列无数据,43723,商品房,38924,普通住宅,满五年,非共有,已上传房本照片,21064,2003,板楼,19,6
72,通州,临河里,海棠湾二期,628.0,48445.6,3室2厅1卫,低楼层,129.63,平层,101.97㎡,板塔结合,南北,钢混结构,毛坯,10列无数据,11列无数据,12列无数据,70年,43604,商品房,41849,普通住宅,满五年,非共有,已上传房本照片,51430,2011,塔板结合,6,9
73,亦庄开发区,马驹桥,宏仁家园,210.0,24452.7,2室1厅1卫,中楼层,85.88,平层,66.49㎡,板楼,西,钢混结构,简装,10列无数据,11列无数据,12列无数据,未知,43786,商品房,41891,普通住宅,满五年,非共有,已上传房本照片,26256,2012,板楼,7,28
74,朝阳,定福庄,定福庄西街,208.0,33537.6,2室0厅1卫,高楼层,62.02,平层,44.99㎡,板楼,东北,混合结构,简装,10列无数据,11列无数据,70年,13列无数据,43789,商品房,43458,普通住宅,暂无数据,非共有,已上传房本照片,47849,1977,塔楼/板楼,25,6
75,大兴,天宫院南,御园B区,233.0,25981.3,2室1厅1卫,低楼层,89.68,平层,70.65㎡,板楼,南北,钢混结构,简装,10列无数据,11列无数据,12列无数据,70年,43691,商品房,41945,普通住宅,满五年,非共有,已上传房本照片,26684,2007,板楼,8,15
76,大兴,黄村中,新安里,233.0,33777.9,2室1厅1卫,中楼层,68.98,平层,无信息,板楼,南北,混合结构,简装,10列无数据,70年,12列无数据,13列无数据,43800,商品房,41060,普通住宅,满五年,非共有,已上传房本照片,32622,1987,板楼,52,6
77,海淀,五棵松,西区邮电局,458.0,62177.6,2室1厅1卫,中楼层,73.66,平层,56.65㎡,板楼,东西,钢混结构,简装,10列无数据,11列无数据,12列无数据,70年,43736,商品房,42495,普通住宅,满两年,非共有,已上传房本照片,62270,2011,板楼/塔板结合,2,8
78,朝阳,东坝,奥林匹克花园四期,600.0,53893.8,2室2厅1卫,低楼层,111.33,平层,94.55㎡,板楼,南北,钢混结构,精装,10列无数据,11列无数据,12列无数据,70年,43767,商品房,41984,普通住宅,满五年,非共有,已上传房本照片,60708,2009,板楼/塔板结合,23,10
79,海淀,紫竹桥,北洼路25号院,750.0,62091.2,3室1厅1卫,高楼层,120.79,平层,无信息,板楼,南北,混合结构,简装,10列无数据,70年,12列无数据,13列无数据,43422,央产房,36718,普通住宅,满五年,非共有,已上传房本照片,67295,1997,板楼,3,6
80,大兴,瀛海,兴海园,249.0,30167.2,2室1厅1卫,中楼层,82.54,平层,73.59㎡,板楼,东西,混合结构,简装,10列无数据,11列无数据,70年,13列无数据,43762,二类经济适用房,43761,普通住宅,暂无数据,共有,已上传房本照片,34733,1995,板楼/塔板结合,19,6
81,朝阳,百子湾,沿海赛洛城二期,540.0,56179.8,2室1厅2卫,中楼层,96.12,平层,73.81㎡,板楼,南北,钢混结构,简装,10列无数据,11列无数据,12列无数据,70年,43585,商品房,43594,普通住宅,暂无数据,共有,已上传房本照片,63129,2007,板楼/塔板结合,10,8
82,朝阳,酒仙桥,阳光上东,1180.0,71623.7,2室1厅2卫,低楼层,164.75,平层,126.9㎡,板楼,东北,钢混结构,精装,10列无数据,11列无数据,12列无数据,70年,43797,商品房,41740,普通住宅,满五年,非共有,已上传房本照片,82805,2000,塔楼/板楼/塔板结合,30,9
83,昌平,小汤山,汤HOUSE,190.0,26629.3,1室1厅1卫,中楼层,71.35,平层,51.14㎡,板楼,西,钢混结构,简装,10列无数据,11列无数据,12列无数据,70年,43440,商品房,40485,普通住宅,满五年,非共有,已上传房本照片,30791,2000,板楼,49,5
84,石景山,鲁谷,京汉旭城,365.0,45768.0,2室1厅1卫,高楼层,79.75,平层,65.07㎡,塔楼,东南北,钢混结构,精装,10列无数据,11列无数据,12列无数据,70年,43702,商品房,40066,普通住宅,满五年,非共有,已上传房本照片,57620,2003,塔楼/板楼,15,23
85,昌平,北七家,望都新地,322.0,35981.7,2室1厅1卫,低楼层,89.49,平层,79.9㎡,板楼,南北,混合结构,精装,10列无数据,11列无数据,70年,13列无数据,43593,商品房,40928,普通住宅,满五年,共有,已上传房本照片,39316,2008,板楼,27,6
86,石景山,杨庄,黄南苑,390.0,46734.6,2室1厅1卫,低楼层,83.45,平层,无信息,板楼,南北,钢混结构,毛坯,10列无数据,11列无数据,70年,13列无数据,43554,商品房,41389,普通住宅,满五年,非共有,已上传房本照片,45128,2000,塔楼/板楼,6,14
87,朝阳,华威桥,美景东方,588.0,56899.6,2室1厅1卫,低楼层,103.34,平层,76.55㎡,板楼,南北,钢混结构,简装,10列无数据,11列无数据,12列无数据,70年,43546,商品房,40506,普通住宅,满五年,非共有,已上传房本照片,63675,2002,塔楼/板楼/塔板结合,12,9
88,通州,梨园,云景里,338.0,39518.3,2室1厅1卫,低楼层,85.53,平层,无信息,板楼,南北,混合结构,精装,10列无数据,70年,12列无数据,13列无数据,43718,商品房,35817,普通住宅,满五年,非共有,已上传房本照片,37503,1995,板楼,6,6
89,顺义,顺义其它,水色时光四区,180.0,27051.4,1室1厅1卫,低楼层,66.54,平层,60㎡,板楼,南,钢混结构,简装,10列无数据,11列无数据,12列无数据,70年,43767,商品房,42802,普通住宅,满两年,非共有,已上传房本照片,25494,2012,板楼,23,11
90,石景山,杨庄,茂华景公馆,900.0,61589.0,3室2厅2卫,中楼层,146.13,平层,122㎡,板楼,南北,钢混结构,精装,10列无数据,11列无数据,12列无数据,70年,43685,商品房,43689,普通住宅,暂无数据,非共有,已上传房本照片,69276,2007,板楼,29,8
91,房山,良乡,北潞春家园,227.0,24471.8,2室1厅1卫,中楼层,92.76,平层,81.66㎡,板楼,南北,混合结构,简装,10列无数据,11列无数据,70年,13列无数据,43685,一类经济适用房,41697,普通住宅,满五年,非共有,已上传房本照片,26696,1999,塔楼/板楼/塔板结合,30,6
92,丰台,丰台其它,张郭庄小区,215.0,35016.3,2室1厅1卫,中楼层,61.4,平层,无信息,南北,南北,混合结构,简装,70年,11列无数据,12列无数据,13列无数据,43751,商品房,43650,普通住宅,暂无数据,非共有,已上传房本照片,36892,1978,板楼,37,5
93,海淀,杨庄,建西苑南里,450.0,66597.6,2室1厅1卫,中楼层,67.57,平层,无信息,板楼,南北,混合结构,简装,10列无数据,70年,12列无数据,13列无数据,43751,商品房,42487,普通住宅,满两年,非共有,已上传房本照片,60494,1998,板楼,12,7
94,大兴,天宫院,保利首开熙悦春天,308.0,37072.7,2室1厅1卫,高楼层,83.08,平层,61.25㎡,板塔结合,南,钢混结构,简装,10列无数据,11列无数据,12列无数据,70年,43757,商品房,42956,普通住宅,满两年,非共有,已上传房本照片,39808,2014,板楼/塔板结合,10,27
95,通州,马驹桥,东亚瑞晶苑,215.0,27339.8,2室1厅1卫,高楼层,78.64,平层,59.69㎡,板塔结合,南,钢混结构,简装,10列无数据,11列无数据,12列无数据,70年,43789,限价商品房,41897,普通住宅,满五年,非共有,已上传房本照片,32259,2009,板楼/塔板结合,9,20
96,昌平,立水桥,溪城家园,369.0,44479.3,2室1厅1卫,高楼层,82.96,平层,63.91㎡,板塔结合,南,钢混结构,简装,10列无数据,11列无数据,12列无数据,70年,43481,限价商品房,41194,普通住宅,满五年,非共有,已上传房本照片,47162,2010,板楼/塔板结合,18,15
